"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code"
"104931-2330007","387","E Lafayette Street and W Indianhead Drive","E LA387","30.434826","-84.257091","","","0","","","0","",""
"104931-2330008","388","Apalachee Parkway and Blairstone Road","APAL388","30.431858","-84.249348","","","0","","","1","",""
"104931-2330009","390","Apalachee Parkway and Victory Garden Drive","APAL390","30.429055","-84.241556","","","0","","","1","",""
"104931-2330010","391","Apalachee Parkway and Richardson Road","APAL391","30.428656","-84.24052","","","0","","","1","",""
"104931-2330011","392","Apalachee Parkway and Executive Center Drive","EBPKYKGR","30.427202","-84.236353","","","0","","","1","",""
"104931-2330012","395","Executive Center Drive and Apalachee Parkway","EXEC395","30.426479","-84.2357","","","0","","","1","",""
"104931-2330013","396","Executive Center Drive and Executive Center Circle W (Koger Center)","EXEC396","30.425281","-84.235764","","","0","","","1","",""
"104931-2330014","397","2540 W Executive Center Circle (Koger Center)","2540EXEC","30.424341","-84.23652","","","0","","","1","",""
"104931-2330015","399","Executive Center Circle W and Executive Center Circle E","EXEC399","30.423138","-84.235151","","","0","","","1","",""
"104931-2330016","401","Centerview Dr before Midyette Road","CENTRVEW","30.420456","-84.23377","","","0","","","1","",""
"104931-2330017","402","Capital Circle SE and Blair Stone Road","CCSEBLRS","30.405221","-84.235154","","","0","","","1","",""
"104931-2330018","403","Esplanade Way and Merchants Row","ESPL403","30.391633","-84.231849","","","0","","","1","",""
"104931-2330019","406","Four Oaks Boulevard and Merchants Row at Southwood Town Center","TWNCTRNB","30.39139","-84.224677","","","0","","","1","",""
"104931-2330020","407","Four Oaks Boulevard and Baringer Hill","FOUR407","30.397736","-84.222835","","","0","","","1","",""
"104931-2330021","408","Four Oaks Boulevard and Blairstone Road","FOUR408","30.402076","-84.223879","","","0","","","1","",""
"104931-2330022","409","Blairstone Road and Capital Circle Se","BLAI409","30.402712","-84.233804","","","0","","","1","",""
"104931-2330023","410","Executive Center Circle and Seagate Drive","EXEC410","30.423588","-84.234463","","","0","","","1","",""
